Location,region
Canberra,Southern
Sydney,Southern
Melbourne,Southern
Brisbane,Southern
Adelaide,Southern
Perth,Southern
Hobart,Southern
Darwin,Northern
Albury,Southern
Newcastle,Southern
Penrith,Southern
Tuggeranong,Southern
MountGinini,Southern
Ballarat,Southern
Bendigo,Southern
Cairns,Northern
GoldCoast,Southern
Townsville,Northern
MountGambier,Southern
Albany,Southern
Launceston,Southern
AliceSprings,Northern
Wollongong,Southern
BadgerysCreek,Southern
Cobar,Southern
CoffsHarbour,Southern
Moree,Southern
NorahHead,Southern
NorfolkIsland,Southern
Richmond,Southern
SydneyAirport,Southern
WaggaWagga,Southern
Williamtown,Southern
Sale,Southern
MelbourneAirport,Southern
Mildura,Southern
Portland,Southern
Watsonia,Southern
Nuriootpa,Southern
Woomera,Southern
Witchcliffe,Southern
PearceRAAF,Southern
PerthAirport,Southern
SalmonGums,Southern
Walpole,Southern
Dartmoor,Southern
Nhil,Southern
Katherine,Northern
Uluru,Northern
